epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,722.873,1.43234,3.53428,1.35228,0.33313,0.49702,0.3491,0.22772,0.91379,18.5282,0.8891,0.000165598,0.000165598,0.000165598
2,1516.43,1.24291,1.85487,1.15356,0.51025,0.64784,0.55415,0.37444,0.83589,18.2102,0.82556,0.000325686,0.000325686,0.000325686
3,2433.92,1.17706,1.51548,1.10933,0.57279,0.73878,0.6515,0.45729,0.79763,17.0217,0.81914,0.000479174,0.000479174,0.000479174
4,3253.65,1.14129,1.3701,1.08393,0.62548,0.80036,0.66755,0.4587,0.81608,16.9295,0.81698,0.0004703,0.0004703,0.0004703
5,4130.96,1.11067,1.28611,1.07603,0.61558,0.82157,0.66849,0.47664,0.7621,14.7819,0.79531,0.0004604,0.0004604,0.0004604
6,5788.93,1.0772,1.2284,1.05964,0.63214,0.83521,0.67238,0.47675,0.7655,14.5651,0.79843,0.0004505,0.0004505,0.0004505
7,6424.15,1.0561,1.16034,1.04585,0.619,0.83708,0.68252,0.49152,0.75151,13.5629,0.79312,0.0004406,0.0004406,0.0004406
8,7054.75,1.04975,1.13944,1.04022,0.63383,0.85817,0.68112,0.49859,0.72524,15.2998,0.77604,0.0004307,0.0004307,0.0004307
9,7685.79,1.03714,1.10911,1.03606,0.62219,0.87288,0.69113,0.50675,0.72857,12.4321,0.78256,0.0004208,0.0004208,0.0004208
10,8318.11,1.02075,1.07272,1.03315,0.65201,0.86911,0.6989,0.51236,0.72597,12.8453,0.77583,0.0004109,0.0004109,0.0004109
11,9000.57,1.01421,1.05625,1.0295,0.6376,0.8542,0.70136,0.51056,0.72353,11.3605,0.78161,0.000401,0.000401,0.000401
12,9638.24,0.99667,1.04028,1.01964,0.65337,0.86816,0.69714,0.51785,0.70142,10.4043,0.76904,0.0003911,0.0003911,0.0003911
13,10270.8,0.99619,1.01018,1.02276,0.65529,0.88323,0.69569,0.51298,0.72007,9.89096,0.77719,0.0003812,0.0003812,0.0003812
14,10908.1,0.99175,1.01053,1.01921,0.65997,0.88274,0.69839,0.5172,0.71747,9.62329,0.77479,0.0003713,0.0003713,0.0003713
15,11539.5,0.98909,0.98113,1.01612,0.66334,0.88339,0.69337,0.51054,0.72679,8.8179,0.77384,0.0003614,0.0003614,0.0003614
16,12170.1,0.9824,0.96126,1.0132,0.64637,0.88689,0.69737,0.52024,0.70098,9.79524,0.76491,0.0003515,0.0003515,0.0003515
17,12858,0.97324,0.96694,1.01147,0.65062,0.8774,0.70652,0.52218,0.70747,8.82627,0.76961,0.0003416,0.0003416,0.0003416
18,13496.8,0.95578,0.94021,1.0043,0.66257,0.88052,0.69747,0.5181,0.7162,7.90261,0.76945,0.0003317,0.0003317,0.0003317
19,14128.3,0.95967,0.9436,1.00959,0.66003,0.89653,0.69773,0.52153,0.70859,7.28765,0.77078,0.0003218,0.0003218,0.0003218
20,14763.5,0.95107,0.8974,0.99886,0.66157,0.89736,0.70502,0.52616,0.69941,7.02035,0.76405,0.0003119,0.0003119,0.0003119
21,15397.7,0.95855,0.90178,0.99884,0.65496,0.89816,0.7074,0.52751,0.71583,6.83916,0.76765,0.000302,0.000302,0.000302
22,16036.6,0.93773,0.8915,0.99167,0.66041,0.89949,0.70667,0.53154,0.69633,6.54251,0.76384,0.0002921,0.0002921,0.0002921
23,16730.1,0.93292,0.88708,0.9936,0.6576,0.89677,0.70059,0.523,0.71215,7.15625,0.77473,0.0002822,0.0002822,0.0002822
24,17367.5,0.91758,0.87405,0.98521,0.65719,0.89218,0.70574,0.53279,0.6911,6.13011,0.76397,0.0002723,0.0002723,0.0002723
25,18007.8,0.91287,0.86518,0.98624,0.66661,0.90821,0.71442,0.54463,0.68238,5.73433,0.7585,0.0002624,0.0002624,0.0002624
26,18647.3,0.91905,0.87124,0.98919,0.66165,0.89385,0.70537,0.53182,0.7091,5.87935,0.76846,0.0002525,0.0002525,0.0002525
27,19289.7,0.91328,0.85612,0.9855,0.66534,0.89746,0.70651,0.53458,0.67926,5.97458,0.75555,0.0002426,0.0002426,0.0002426
28,19981,0.89825,0.84679,0.98168,0.66923,0.90032,0.70527,0.53609,0.68494,5.22084,0.75775,0.0002327,0.0002327,0.0002327
29,20635.1,0.90449,0.83456,0.97975,0.65995,0.90365,0.7146,0.54011,0.69576,5.27444,0.76553,0.0002228,0.0002228,0.0002228
30,21275.8,0.90405,0.84024,0.98345,0.66612,0.89484,0.70535,0.53195,0.69166,5.34153,0.76552,0.0002129,0.0002129,0.0002129
31,21920.1,0.90224,0.83187,0.98366,0.66798,0.89606,0.70234,0.53125,0.69587,5.31909,0.76362,0.000203,0.000203,0.000203
32,22565,0.8788,0.8175,0.97298,0.66075,0.89675,0.70211,0.53331,0.69193,4.89712,0.76544,0.0001931,0.0001931,0.0001931
33,23209.2,0.87553,0.81325,0.96931,0.66352,0.89146,0.71053,0.53563,0.70508,4.71715,0.7721,0.0001832,0.0001832,0.0001832
